epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.255,1.69136,1.45111,1.29131,0.79349,0.72083,0.76371,0.42545,1.51714,inf,1.12869,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036,0.00996109,0.00332036
2,189.688,1.50602,0.84895,1.11966,0.84491,0.7721,0.81918,0.46667,1.45883,inf,1.09302,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782,0.0197635,0.00658782
3,262.018,1.50305,0.81653,1.11001,0.83696,0.75453,0.80142,0.45804,1.4569,inf,1.09771,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929,0.0293679,0.00978929
4,332.739,1.48326,0.7946,1.09964,0.84598,0.76022,0.80534,0.46567,1.45455,inf,1.09551,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,405.6,1.44915,0.75319,1.08459,0.85805,0.77369,0.83207,0.48635,1.41258,inf,1.06661,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,478.842,1.43155,0.73134,1.07357,0.87534,0.79276,0.84915,0.50492,1.38756,inf,1.05509,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,550.234,1.42052,0.71281,1.06656,0.87884,0.79262,0.84885,0.50584,1.38868,inf,1.05503,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,622.404,1.40354,0.69726,1.06126,0.87801,0.79242,0.85036,0.50739,1.38468,inf,1.04763,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,693.39,1.39741,0.68844,1.05873,0.88424,0.80201,0.85355,0.51501,1.37018,inf,1.04914,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,766.198,1.39026,0.67935,1.05371,0.86588,0.76828,0.83235,0.49823,1.38608,inf,1.05064,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,838.736,1.3851,0.67187,1.05016,0.8832,0.80913,0.85496,0.51586,1.36851,inf,1.04676,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,911.768,1.38153,0.66858,1.04854,0.89275,0.81245,0.8657,0.52222,1.36095,inf,1.04194,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,983.545,1.37488,0.66156,1.04626,0.88936,0.81449,0.86759,0.5232,1.36191,inf,1.04191,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1056.5,1.37046,0.65604,1.0441,0.89495,0.81767,0.86904,0.5262,1.35335,inf,1.03322,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1129.5,1.36788,0.65107,1.0428,0.89783,0.81905,0.87725,0.53229,1.34487,inf,1.03081,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1202.12,1.36368,0.64848,1.04047,0.89595,0.81975,0.86875,0.53091,1.33888,inf,1.0297,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1274.58,1.36248,0.64388,1.03922,0.89537,0.82663,0.87926,0.53439,1.34074,inf,1.02962,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1346.64,1.35981,0.64091,1.03853,0.89771,0.82499,0.87723,0.53509,1.33671,inf,1.02951,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1417.17,1.35453,0.63582,1.03677,0.89928,0.81975,0.87763,0.53399,1.33984,inf,1.03163,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1489.99,1.35229,0.63443,1.03641,0.89717,0.82752,0.87629,0.53536,1.33638,inf,1.02882,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1560.71,1.35166,0.62977,1.03573,0.89824,0.82597,0.87976,0.53639,1.33782,inf,1.02936,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1632.13,1.34708,0.62625,1.03393,0.89589,0.8264,0.87775,0.5379,1.33052,inf,1.02731,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1703.77,1.34623,0.62511,1.03391,0.89706,0.82938,0.87911,0.53865,1.33237,inf,1.02659,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1774.33,1.34692,0.62314,1.03509,0.90245,0.82703,0.87892,0.54159,1.32614,inf,1.02375,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1846.99,1.34488,0.62086,1.03148,0.90061,0.8327,0.88082,0.54295,1.32615,inf,1.02287,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1919.94,1.33999,0.6174,1.03175,0.90207,0.83322,0.88145,0.5437,1.32181,inf,1.02324,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1989.82,1.33877,0.61686,1.02996,0.90105,0.82714,0.8797,0.54138,1.32332,inf,1.02076,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2062.33,1.33827,0.61539,1.02863,0.90312,0.83043,0.88205,0.54322,1.32181,inf,1.02126,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2135.03,1.33672,0.61356,1.02924,0.89921,0.83532,0.88234,0.54399,1.32251,inf,1.02301,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2207.87,1.33387,0.61064,1.02811,0.90446,0.83086,0.88194,0.54499,1.32118,inf,1.02365,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2280.6,1.33435,0.60898,1.02728,0.90248,0.83406,0.88164,0.54472,1.31745,inf,1.01963,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2353.57,1.33164,0.60672,1.02813,0.90436,0.83623,0.89031,0.54871,1.31695,inf,1.01814,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2424.97,1.32843,0.60399,1.02753,0.90341,0.83543,0.88901,0.54802,1.31465,inf,1.0198,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2493.04,1.33083,0.60573,1.02976,0.90653,0.83917,0.89068,0.54931,1.31488,inf,1.01919,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2565.87,1.32979,0.60439,1.02709,0.90227,0.84,0.89088,0.54917,1.31384,inf,1.01776,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2637.7,1.3248,0.60049,1.02588,0.90643,0.83972,0.89282,0.5502,1.31175,inf,1.01688,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2710.16,1.32587,0.60082,1.02634,0.90524,0.83736,0.89149,0.55035,1.31297,inf,1.0188,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2782.7,1.32431,0.59769,1.02481,0.90602,0.83999,0.89192,0.55156,1.31107,inf,1.01862,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2855.21,1.32381,0.59671,1.02538,0.90562,0.84037,0.8921,0.55102,1.31105,inf,1.01798,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2927.24,1.32074,0.59467,1.02296,0.90487,0.83997,0.89087,0.55104,1.31143,inf,1.01668,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2999.03,1.32121,0.59379,1.02448,0.90523,0.84003,0.89212,0.55258,1.30713,inf,1.01607,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3070.13,1.32035,0.59284,1.02436,0.9074,0.84067,0.89099,0.55121,1.30846,inf,1.01784,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3142.52,1.31945,0.5918,1.02357,0.90479,0.84257,0.89166,0.55322,1.30517,inf,1.01537,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3212.8,1.31854,0.5905,1.02384,0.91014,0.83853,0.89298,0.55305,1.30659,inf,1.01572,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3284.9,1.31784,0.59039,1.02098,0.90757,0.83807,0.89117,0.55181,1.30855,inf,1.01462,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3357.44,1.31722,0.5888,1.02126,0.90508,0.84269,0.89086,0.55161,1.30764,inf,1.01568,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3428.92,1.31428,0.58735,1.02015,0.90589,0.84426,0.89332,0.55331,1.30604,inf,1.01559,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3501.21,1.31424,0.58653,1.01927,0.90741,0.84465,0.89371,0.55536,1.3038,inf,1.0143,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3573.89,1.3126,0.58549,1.02027,0.90706,0.84604,0.89456,0.55567,1.30517,inf,1.01599,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3645.52,1.3126,0.58405,1.01987,0.90802,0.84219,0.89325,0.55462,1.30415,inf,1.01619,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3718.21,1.31096,0.58223,1.01876,0.90805,0.846,0.89488,0.55663,1.30323,inf,1.01448,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3790.9,1.3126,0.58297,1.01666,0.90935,0.84642,0.89516,0.55776,1.30323,inf,1.01361,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3862.9,1.30843,0.57967,1.01841,0.90918,0.84742,0.8955,0.557,1.30306,inf,1.01484,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3935.78,1.30838,0.57955,1.01648,0.9095,0.84544,0.89509,0.55695,1.30153,inf,1.01341,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4007.71,1.3055,0.57786,1.01855,0.91134,0.84532,0.89549,0.55734,1.30118,inf,1.01387,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4079.01,1.30584,0.57765,1.01855,0.90872,0.84662,0.89419,0.55701,1.30228,inf,1.01509,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
